COUNTRY,NUMBER
United States,59
United Kingdom,40
Germany,29
India,24
Spain,20
Australia,16
Netherlands,14
Denmark,14
Switzerland,12
Singapore,10
Canada,10
Hong Kong,9
Italy,9
Belgium,8
France,8
China,7
Norway,6
Brazil,6
Greece,5
Mexico,5
Portugal,5
Indonesia,4
Malaysia,4
Argentina,3
Sweden,3
Austria,3
Peru,3
New Zealand,2
Chile,2
Pakistan,2
Japan,2
Iceland,2
Philippines,2
Serbia,2
Mauritius,2
Ireland,2
Hungary,2
Romania,2
Turkey,2
Ecuador,2
Colombia,2
Poland,1
Christmas Island,1
C̫te D'ivoire,1
Andorra,1
South Africa,1
Luxembourg,1
Czech Republic,1
Lithuania,1
Slovenia,1
Myanmar,1
Thailand,1
Sri Lanka,1
El Salvador,1
Morocco,1
Croatia,1
Kenya,1
Russian Federation,1
Kazakhstan,1
Nigeria,1
United Arab Emirates,1
"Korea, Republic of",1
Liberia,1
Ghana,1